Scheme name;Scheme options;Evaluation mode;Unclassified instances;Correctly classified instances;Incorrectly classified instances;Percent correct;Percent incorrect;Mean absolute error;Root mean squared error;Relative absolute error;Root relative squared error;Total number of instances;Kappa statistic
LogitBoost;-P 95 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L 5 -P -I 1.0;cross_validation folds 10 seed 1;0.0;5979.0;21.0;99.65;0.35;0.0037850282;0.057246387;0.7570056425;11.4492774098;6000.0;0.993
ScikitLearnClassifier;-batch 100 -learner GaussianNB;cross_validation folds 10 seed 1;0.0;5915.0;85.0;98.5833333333;1.4166666667;0.0197397828;0.1077197866;3.9479565514;21.54395732;6000.0;0.9716666667
FilteredClassifier;"-F ""weka.filters.MultiFilter -F \""weka.filters.AllFilter \"" -F \""weka.filters.unsupervised.attribute.RemoveUseless -M 99.0\"" -F \""weka.filters.unsupervised.attribute.NominalToBinary -R first-last\"""" -S 1 -W weka.classifiers.mlr.MLRClassifier -- -learner classif.LiblineaRL1LogReg -batch 100 -S 1";cross_validation folds 10 seed 1;0.0;5905.0;95.0;98.4166666667;1.5833333333;0.0480736996;0.1218478064;9.61473992;24.3695612836;6000.0;0.9683333333
