Scheme name;Scheme options;Evaluation mode;Unclassified instances;Correctly classified instances;Incorrectly classified instances;Percent correct;Percent incorrect;Mean absolute error;Root mean squared error;Relative absolute error;Root relative squared error;Total number of instances;Kappa statistic
ScikitLearnClassifier;-batch 100 -learner GaussianNB;cross_validation folds 10 seed 1;0.0;5916.0;84.0;98.6;1.4;0.0197181103;0.1076581224;3.943622051;21.531624485;6000.0;0.972
LogitBoost;-P 95 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L 5 -P -I 1.0;cross_validation folds 10 seed 1;0.0;5987.0;13.0;99.7833333333;0.2166666667;0.0026031922;0.0466760892;0.520638432;9.3352178354;6000.0;0.9956666667
FilteredClassifier;"-F ""weka.filters.MultiFilter -F \""weka.filters.AllFilter \"" -F \""weka.filters.unsupervised.attribute.RemoveUseless -M 99.0\"" -F \""weka.filters.unsupervised.attribute.NominalToBinary -R first-last\"""" -S 1 -W weka.classifiers.mlr.MLRClassifier -- -learner classif.LiblineaRL1LogReg -batch 100 -S 1";cross_validation folds 10 seed 1;0.0;5909.0;91.0;98.4833333333;1.5166666667;0.0440096258;0.1198007583;8.8019251594;23.960151656;6000.0;0.9696666667
